epoch,train_loss,test_acc
178,0.011694372864929027,0.9195
179,0.013222655457509681,0.9249
180,0.011580059944977983,0.9208
181,0.012428111645469907,0.9257
182,0.0112134317017789,0.9248
183,0.012063029110264033,0.9221
184,0.013228734396761282,0.9269
185,0.011650099788764492,0.9287
186,0.010608466049195268,0.923
187,0.010652617569081485,0.9199
188,0.014345435457846615,0.9243
189,0.010147562987869606,0.9262
190,0.009481857531103305,0.9263
191,0.012204161503082142,0.923
192,0.010899918831894175,0.9243
193,0.01154663411191199,0.9257
194,0.010753843730569352,0.9275
195,0.011339265803175513,0.9216
196,0.01038069764485117,0.9227
197,0.013703819651226513,0.9279
198,0.011882735941968859,0.9283
199,0.010243754722964949,0.9268
200,0.009770304870373512,0.9268
